# The license in the LICENSE file does not apply to this file. The data in this file is from SIMBAD (http://simbad.cds.unistra.fr/simbad/). This file is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/.
id,otype,ra,dec,pmra,pmdec,rvz,plx,type,mag,extra

α And,a2*,2.0969161856756404,29.090431118059698,137.46,-163.44,-10.1,33.62,B8IV-VHgMn,2.06,name=Alpheratz
β And,PM*,17.43301617293042,35.62055765052624,175.9,-112.2,0.608782,16.52,M0+IIIa,2.05,name=Mirach
γ^1 And,*,30.97480120653972,42.32972842352701,42.32,-49.3,-11.5,8.3,K2+IIb,2.1,name=Almach
δ And,xSB*,9.831679638429584,30.86098357599195,176.856,-108.171,-9.88,31.5735,K3III-IIIbCN0.5,3.28
ε And,PM*,9.638947629184164,29.311753227467783,-228.701,-253.206,-83.958,19.2451,G7IIIFe-3CH1,4.38
ζ And,El*,11.834690495196249,24.267178550475833,-101.068,-80.276,-24.43,18.0083,K1III+KV,4.06
η And,SB*,14.301667830110834,23.417650023123606,-43.008,-45.254,-10.3,12.5624,G8-III,4.42
θ And,**,4.272926513519167,38.68163572933945,-57.551,-14.795,0.9,18.8747,A2V,4.61
ι And,Pu*,354.53416793938504,43.26807305495556,27.163,-1.246,-0.5,6.4313,B8V,4.29
κ And,PM*,355.10211557957956,44.33393296378723,79.998,-19.011,-12.7,19.4064,B9IVn,4.14
λ And,RS*,354.39101158367913,46.45815131141917,159.606,-421.822,6.84,38.5736,G8IVk,3.82
µ And,PM*,14.188371146487498,38.499334271586946,151.021,34.8,7.27,26.7046,A6V,3.87
ν And,SB*,12.45352635157333,41.07891089498556,21.711,-18.694,-23.9,5.7868,B5V,4.53
ξ And,Adhil,*,20.58508364821,45.52877673579,31.681,9.024,-12.3534,14.6042,K0-IIIb,4.868
ο And,Be*,345.4802708143367,42.32601551823333,18.841,-6.589,-14,9.3051,B6IV/V_sh,3.62
π And,SB*,9.22021384008625,33.71934341518167,14.669,-3.385,8.2,5.6563,B5V,4.36
σ And,PM*,4.581905703219166,36.78522459491082,-65.212,-42.221,-8.99,23.2542,A2V,4.52
υ And,PM*,24.199339768294585,41.40545871334139,-171.892,-381.815,-28.662,74.194,F9V,4.1,name=Titawin
φ And,Be*,17.37552339943203,47.241794288193404,4.05,-12.43,-2.2,4.55,B5IIIe,4.25
φ And A,*,17.375508599999996,47.24179658888889,0,-10.8,null,null,null,4.294
ω And,**,21.91408631466458,45.406684757618336,357.564,-110.039,14.1,34.7332,F4IV,4.83
b And,SB*,33.3055091634783,44.2316466494814,-20.9,-14.46,-48,5.2634,K4-III:,4.826
7 And,PM*,348.13751463414246,49.40620720203916,89.939,95.704,11.03,40.294,F1V,4.52
58 And,PM*,32.121921323591664,37.85908513215612,154.277,-43.122,7.6,17.2479,A5IV-V,4.82
65 And,*,36.40592906717001,50.27862870409,24.289,-14.483,-4.93,7.6317,K4.5III,4.71

α Ant,PM*,156.7879193306,-31.06777913925,-81.32,9.798,12.2,8.9069,K3III,4.25
δ Ant,*,157.39741176314,-30.60706510606,-29.598,1.704,14,7.0076,B9/9.5V,5.56
ε Ant,*,142.31133167344,-35.95133743857333,-24.844,5.72,22.2,4.6349,K3III,4.51
ζ^1 Ant A,*,142.69208232066,-31.889200131559992,18.767,-22.778,-3.74,9.5729,A1V,6.15
ζ^1 Ant B,*,142.69066355801,-31.891113504289997,20.517,-21.314,-0.35,9.6052,A1V,6.82
ζ^2 Ant,*,142.88397896732,-31.87180986347,-46.727,-9.036,19.8,8.8101,A9IV,5.899
θ Ant,**,146.05039631875,-27.769472515277776,-53.23,37.24,24,9.61,A7V+G8III,4.79
ι Ant,PM*,164.17938007896,-37.137767409880006,74.069,-124.443,2.3,15.7132,K0III,4.6
η Ant,PM*,149.71781426255,-35.8909728992,-89.728,-15.945,24.43,30.0499,F1V,5.222
U Ant,C*,158.80354589478,-39.56259000568,-31.504,2.619,41,3.6154,C-N3,5.38
S Ant,SB*,143.07661035944,-28.62776903112,-89.375,44.049,26.22,12.6116,F3V,6.45
RR Ant,LP*,143.91220574827,-39.90351443571,-1.289,0.814,null,1.2536,M5.5II,8.38
XX Ant,SB*,147.35296571481,-38.3492453265,-17.801,25.309,null,5.0661,A8/F0V+(F),8.71
AB Ant,C*,152.97425013375,-35.32473603413,-1.557,-0.151,3.8,1.2235,C-N4.5III:,6.74
AH Ant,RS*,163.31195489261,-32.98857514134,-22.334,14.064,6.88,2.2742,K1IIIe+F,8.4
AL Ant,LP*,142.32536882221,-33.67253758247,-16.505,-4.918,59.54,2.1076,M2/3III,7.51
AN Ant,EB*,143.18475748137,-37.22632758996,-11.455,-17.259,-57.41,3.2896,F0/2IV,8.24
AP Ant,a2*,151.20424207907,-28.18868797492,-27.107,10.968,null,4.3691,A(pEuCr),6.96
AU Ant,LP*,156.64446271731,-34.70081742280001,-4.781,1.806,-9.83,1.4676,M3III,8.48
AV Ant,LP*,156.79174999968,-37.21310532463,-19.419,9.895,14.38,1.4426,M4III,7.97
AT Ant,Mi*,153.96137554627,-32.17622125478,-17.894,7.578,null,1.4199,M4III,8.25
AX Ant,LP*,159.10354154444,-31.833041230870002,15.922,-5.875,4.39,1.3027,K5,8.62
AZ Ant,dS*,161.21127334303,-35.34401959092,-20.785,9.687,null,3.8879,A5/7V(+F),7.86
BB Ant,LP*,162.88773031393,-34.5377376298,5.483,-6.471,null,2.095,M6III,8.31
BF Ant,dS*,149.22538402416,-27.47515501135,-72.643,23.29,24.77,6.951,A4V,6.312
CC Ant,EB*,158.37238008254,-36.06599366658,-26.982,13.377,null,4.3581,A8III,7.7

α Aps,*,221.96546289704744,-79.04475355458166,-5.133,-16.299,-0.1,6.5509,K3IIICN0.5,3.798
β Aps,PM*,250.76941073843165,-77.51743314838694,-281.986,-354.837,-30.02,20.9535,K0III,4.24
γ Aps,PM*,248.3628438138967,-78.89714816863112,-125.575,-78.212,5.4,21.3033,G8III,3.854
δ^2 Aps,*,245.11190678901,-78.66749603066,-1.817,-31.511,-10.47,5.795,K3III,5.247
ε Aps,Be*,215.59663816720376,-80.10895512187277,-8.757,-15.001,4.5,6.0885,B3V,5.052
κ^1 Aps,Be*,232.87842553883,-73.38959153989,0.996,-18.345,62,3.0798,B2Vnpe,5.49
κ^2 Aps,Pu*,235.0889795186,-73.44666720333,-15.517,-26.408,-19,4.5583,B7III/IV,5.65
θ Aps,LP*,211.33283724970335,-76.79676185989,-88.586,-32.655,10.2,8.3808,M6.5III:,5.5
ζ Aps,*,260.49782373427,-67.77066898815,-37.437,-7.925,11.36,11.1175,K2-III,4.78
ι Aps,**,260.52448185248994,-70.12320626722,-1.881,-11.363,-4.3,3.1948,B8/9V(n),5.39
η Aps,PM*,214.55789958255997,-81.00775849839,-19.981,-65.222,-9.4,22.9229,A2mA7-F2,4.889
R Aps,PM*,224.47076466101,-76.66265469388,-69.161,-16.583,-31.2,7.8879,K4III:,5.359
